Username,Creator,Weight
discourse,liberal,1
discourse,politicalcomedy,1
discourse,politicalsatire,1
discourse,trump,1
discourse,politicalhumor,1
discourse,lefttok,1
discourse,notadragqueen,1
discourse,rightwingwatch,1
discourse,republicangroomer,1
discourse,protectchildren,1
discourse,arrested,1
discourse,politok,1
discourse,commietok,1
discourse,groomer,1
discourse,projection,1
discourse,gop,2
discourse,republicans,1
discourse,greenscreen,2
discourse,socialsecurity,1
discourse,callyourreps,1
discourse,phonebanking,1
discourse,drugprices,1
discourse,medicare,1
discourse,abortionrights,1
discourse,fup,1
discourse,stopmomsforliberty,1
discourse,letkidsread,1
discourse,stopmomsforlibertyflorida,1
discourse,dontsaygaybillflorida,1
discourse,dontsaygay,1
discourse,floridabookban,1
discourse,defenseofdemocracyflorida,1
discourse,bannedbook,1
discourse,hernandocounty,1
discourse,newsroundup,1
discourse,roundup,1
discourse,worldnews,1
discourse,thisweek,1
discourse,russia,1
discourse,ukrainewar,1
discourse,climatecrisis,1
discourse,pakistan,1
discourse,climatechange,1
discourse,zelenskyy,1
discourse,cops,1
discourse,florida,1
discourse,prisontiktok,1
discourse,floridacheck,1
discourse,voteblue,2
discourse,owned,1
discourse,freakout,1
discourse,kennedy,1
discourse,law,1
discourse,supremecourt,1
discourse,justice,1
discourse,civilrights,1
discourse,gma,1
discourse,dwts,1
discourse,dancingongma,1
discourse,royals,1
discourse,bachelornation,1
discourse,redcarpet,1
discourse,family,1
discourse,shangela,1
discourse,oscars,1
discourse,dancingwiththestars,1
democrat,newsroundup,5
democrat,roundup,5
democrat,worldnews,8
democrat,thisweek,5
democrat,russia,8
democrat,ukrainewar,7
democrat,climatecrisis,5
democrat,pakistan,5
democrat,climatechange,7
democrat,zelenskyy,5
democrat,politik,1
democrat,leftist,9
democrat,thedailyshow,1
democrat,katieporter,1
democrat,liberal,11
democrat,senator,1
democrat,gunreform,1
democrat,votetiktok,1
democrat,politics,20
democrat,debate,1
democrat,northcarolina,1
democrat,nc,1
democrat,ncnews,1
democrat,northcarolinaliving,1
democrat,universityofnorthcarolinaatchapelhill,1
democrat,activeshootertoday,1
democrat,activeshooter,1
democrat,ncgeneralassembly,1
democrat,ncpolitics,1
democrat,carrboro,1
democrat,trump2024,5
democrat,joebiden,8
democrat,biden,16
democrat,bidenharris,2
democrat,kamalaharris,2
democrat,trump,16
democrat,bidenadministration,2
democrat,sleepyjoe,2
democrat,whitehouse,2
democrat,democrat,12
democrat,trendingvideo,2
democrat,world,2
democrat,weather,4
democrat,extremeweather,2
democrat,tiktoknews,2
democrat,climate,2
democrat,uk,3
democrat,europe,2
democrat,ufc,1
democrat,republicansoftiktok,1
democrat,leftisttiktok,3
democrat,wisconsin,1
democrat,democratsoftiktok,2
democrat,politicaltiktok,11
democrat,elonmusk,1
democrat,republicans,6
democrat,fridaynight,2
democrat,cult45,5
democrat,voteblue,3
democrat,donaldtrump,15
democrat,tennessee,3
democrat,nashville,3
democrat,fauxnews,3
democrat,trumpisacriminal,3
democrat,lockhimup,3
democrat,govotetn,3
democrat,nowthis,4
democrat,nowthisnews,4
democrat,celebrity,4
democrat,celebs,4
democrat,feelgood,4
democrat,entertainment,4
democrat,writersstrike,4
democrat,wga,4
democrat,sagaftra,4
democrat,justice,1
democrat,qasimforcongress,1
democrat,policereform,1
democrat,blm,1
democrat,gop,6
democrat,getoutthevote,1
democrat,votebeto,1
democrat,islamophobia,1
democrat,texas,2
democrat,racism,1
democrat,anticapitalism,1
democrat,socialism,2
democrat,communism,2
democrat,labour,1
democrat,meme,1
democrat,edutok,1
democrat,toriesout,1
democrat,slideshow,1
democrat,healthtok,1
democrat,parentsoftiktok,1
democrat,recall,1
democrat,goodnews,1
democrat,newyorkcity,1
democrat,ontheroad,1
democrat,space,1
democrat,rescue,1
democrat,military,1
democrat,rnlshow,1
democrat,revolution,1
democrat,bobavakian,1
democrat,chingalamigra,1
democrat,abortionrights,1
democrat,identitypolitics,1
democrat,ww3,1
democrat,revolutionary,1
democrat,exfundie,2
democrat,religiousdeconstruction,2
democrat,formerchristian,2
democrat,formerconservative,2
democrat,agnostic,2
democrat,exevangelical,2
democrat,atheist,2
democrat,churchtrauma,2
democrat,tiktokfashion,1
democrat,fashionforyou,1
democrat,runway,1
democrat,parisfashionweek,1
democrat,milanfashionweek,1
democrat,fashionweek,1
democrat,aw23,1
democrat,pfw,1
democrat,fashiontiktok,1
democrat,archive,1
democrat,gopfascist,5
democrat,cometogether,5
democrat,humanrights,5
democrat,june1,5
democrat,lgbtqiarightsarehumanrights,5
democrat,powerfulwomen,5
democrat,laurenboebertissodumb,5
democrat,tuckercarlsonsucks,5
democrat,texasdemocrats,5
democrat,joke,1
democrat,survivor,1
democrat,healing,1
democrat,badassblacksheep,1
democrat,recovery,1
democrat,childloss,1
democrat,queer,1
democrat,exrepublican,1
democrat,exconservative,1
democrat,fyyyyyyyyyyyyyyyy,1
democrat,democracy,1
democrat,liberals,2
democrat,roe,1
democrat,democrats,3
democrat,abortionisessentialhealthcare,1
democrat,political,7
democrat,bbcnews,2
democrat,police,2
democrat,ukpolitics,2
democrat,royalfamily,2
democrat,coronation,2
democrat,china,2
democrat,rishisunak,2
democrat,kingcharles,2
democrat,cnn,5
democrat,ukraine,7
democrat,seoul,5
democrat,dashcam,5
democrat,desantis,7
democrat,newyork,5
democrat,worldcup2022,5
democrat,whyaremen,1
democrat,childfreebychoice,1
democrat,mybodymychoice,1
democrat,reaction,1
democrat,toxicrelationship,1
democrat,sterilization,1
democrat,insecuremen,1
democrat,rentingproblems,1
democrat,toxicmen,1
democrat,childfreemillennial,1
democrat,republicanhypehouse,1
democrat,conservativehypehouse,1
democrat,trumptrain2024,1
democrat,maga2024,1
democrat,saveamerica2024,1
democrat,fupシ,1
democrat,fylpシ,1
democrat,donaldtrump2024,1
democrat,americanpolitics,1
democrat,america,1
democrat,conservative,3
democrat,radiohost,1
democrat,whbc,1
democrat,troops,1
democrat,republican,16
democrat,politicalcomedy,1
democrat,politicalsatire,1
democrat,politicalhumor,1
democrat,maga,4
democrat,tpusa,1
democrat,blacklivesmatter,1
democrat,dc,1
democrat,stich,1
democrat,movieclips,1
democrat,film,1
democrat,vote,2
