username,video_id,creator,favourites
designs_from_time,7475042232265919786,charmaine.parsons,1
designs_from_time,7474420186079137066,liladoeslife,9029
designs_from_time,7473566114212039958,alsomiska,113541
designs_from_time,7475116752926641454,bernie,17488
designs_from_time,7474679442145643818,luisitorio787,9135
designs_from_time,7474242575562460446,lookingglass1972,35
designs_from_time,7475205577749155115,edisonquill,22015
designs_from_time,7474252612301229317,movieuniverse.ua,22731
designs_from_time,7468445854416833822,orlandovargas597,1180
designs_from_time,7474300782922190122,lisa_the_lawyer,2108
designs_from_time,7474764263639272750,hopewalz,7533
designs_from_time,7081766068477250859,thesewloartist,671
designs_from_time,7475042557119073582,cherbear2122,628
designs_from_time,7474851907249425707,knippers.schechtm,7361
designs_from_time,7474656548040772910,4thepeoplebythepeople,5318
designs_from_time,7475455330047102238,jasmineforus,75686
designs_from_time,7475114186146647326,tatehoskins,12705
designs_from_time,7474104582071848238,teresakayenewman,2106
designs_from_time,7474340149791378730,katethesarge22,2697
designs_from_time,7474908432831761686,myvoicemychoice0,1858
cosmicsummit,7165979877668179243,dabblersden,3
cosmicsummit,7156679324916026670,dabblersden,3
cosmicsummit,7154401223704349998,dabblersden,362
cosmicsummit,7352191320422649130,arlington_institute,99
cosmicsummit,7200742373545086214,funnyoldeworld,38729
venetialamanna,7462220054017412384,dumbbirchtree,1893
venetialamanna,7453489541454843158,lucas.febraro,15967
venetialamanna,7446843008181439776,maxlamanna,2185
venetialamanna,7448359204097772833,mairead.ni.shuill,23626
venetialamanna,7460509255288851745,skynews,21702
venetialamanna,7472884208726248750,crutches_and_spice,11859
venetialamanna,7449823096694967594,ajplus,27459
venetialamanna,7471955573865450770,nol_collective,134
venetialamanna,7473102504603946262,cleanclothescampaign,854
venetialamanna,7445360345184537886,suaysewshop,75
venetialamanna,7470216725967998240,theglobalgoals,9
venetialamanna,7449476055703833889,novosocial,1220
venetialamanna,7445045608903200033,_cheerupluv,3
venetialamanna,7445529724593376554,stepagencynews,130517
venetialamanna,7465789529186635015,nol_collective,8396
venetialamanna,7441942198884568353,meganjcrabbe,2
venetialamanna,7466122467883486486,cleanclothescampaign,507
venetialamanna,7445396629055884590,nurse.conner,14605
venetialamanna,7472415294829464854,lucas.febraro,9336
i_d,7194135754778397994,babybella777,71930
i_d,7142138223404322054,iobservefashion,105
i_d,7190423131448806662,merouane_behl,11803
